year,Jan.temp,Feb.temp,Mar.temp,Apr.temp,May.temp,Jun.temp,Jul.temp,Aug.temp,Sep.temp,Jan.prcp,Feb.prcp,Mar.prcp,Apr.prcp,May.prcp,Jun.prcp,Jul.prcp,Aug.prcp,Sep.prcp,PApr.temp,PMay.temp,PJun.temp,PJul.temp,PAug.temp,PSep.temp,POct.temp,PNov.temp,PDec.temp,PApr.prcp,PMay.prcp,PJun.prcp,PJul.prcp,PAug.prcp,PSep.prcp,POct.prcp,PNov.prcp,PDec.prcp,X,Pfall.temp,Pfall.precip,winter.temp,winter.precip,gs.temp,gs.precip,Pgs.temp,Pgs.precip,sping.temp,spring.precip,Pspring.temp,Pspring.precip,annual.temp,annual.precip,Pfall.CMI,winter.CMI,gs.CMI,Pgs.CMI,sping.CMI,Pspring.CMI
1961,-31.30000114,-31.30000114,-31.10000038,-19,-0.900000036,8.600000381,11.69999981,6.5,0.800000012,12.90000057,4.599999905,4.300000191,7.200000286,8.100000381,9.600000381,27,45.60000229,10.90000057,-19,-0.900000036,8.600000381,11.69999981,6.5,0.800000012,-10.90000057,-23.30000114,-31.39999962,7.200000286,8.100000381,9.600000381,27,45.60000229,10.90000057,18.80000114,35,8.800000191,61,-11.4666667,44.30000019,-29.90000089,30.20000029,8.933333397,82.20000267,10.10000038,88.60000038,-17.00000014,19.60000086,-14.00000048,16.40000045,-12.63333365,192.8000059,1.058308752,1.006666676,-1.820175284,-2.374911623,0.440416444,0.533272994
1962,-29.60000038,-28.20000076,-22.30000114,-13.19999981,-3.400000095,6.900000095,10.40000057,8,-1.300000072,24.5,20.39999962,8.100000381,7.099999905,8,39.5,50.60000229,64.70000458,20.39999962,-13.19999981,-3.400000095,6.900000095,10.40000057,8,-1.300000072,-12.69999981,-24.20000076,-30.30000114,7.099999905,8,39.5,50.60000229,64.70000458,20.39999962,19.80000114,20.30000114,13.40000057,62,-11.1333339,64.70000171,-29.73333359,53.69999981,8.433333555,154.8000069,8.933333397,82.20000267,-12.96666702,23.20000029,-17.00000014,19.60000086,-11.65833361,296.8000092,1.850725625,1.789999994,0.840393925,-1.820175284,0.707238678,0.440416444
1963,-27.10000038,-28.30000114,-28.20000076,-17.5,-5.700000286,5.900000095,10.80000019,6.300000191,1.100000024,30.30000114,14.5,6.200000286,11.40000057,4.900000095,18.80000114,38.79999924,26.5,13.30000019,-17.5,-5.700000286,5.900000095,10.80000019,6.300000191,1.100000024,-14.69999981,-23.89999962,-29,11.40000057,4.900000095,18.80000114,38.79999924,26.5,13.30000019,22.30000114,18.10000038,20.60000038,63,-12.73333355,60.5000019,-28.56666755,58.20000171,7.666666825,84.10000038,8.433333555,154.8000069,-17.13333368,22.50000095,-12.96666702,23.20000029,-12.52500012,225.7000046,1.835211685,1.940000057,-0.899085455,0.840393925,0.750000032,0.707238678
1964,-40.5,-32,-29.20000076,-19.20000076,-4.200000286,10.90000057,9.800000191,8.100000381,-0.900000036,15.40000057,8.600000381,1.300000072,3.700000048,9.699999809,13.80000019,57.40000153,30.30000114,19.10000038,-19.20000076,-4.200000286,10.90000057,9.800000191,8.100000381,-0.900000036,-12.60000038,-26.39999962,-28.60000038,3.700000048,9.699999809,13.80000019,57.40000153,30.30000114,19.10000038,21.20000076,18.30000114,19.70000076,64,-12.4999998,53.70000171,-33.83333333,44.60000133,9.600000381,101.5000029,7.666666825,84.10000038,-17.53333394,14.69999993,-17.13333368,22.50000095,-13.73333342,218.5000068,1.395951384,1.486666711,-1.831874564,-0.899085455,0.455637611,0.750000032
1965,-32.79999924,-34.70000076,-26.70000076,-18.39999962,-5.300000191,7.900000095,9.5,6.800000191,-1.899999976,17.39999962,1.5,4.700000286,7.099999905,4.400000095,10.80000019,14.10000038,26.10000038,11,-18.39999962,-5.300000191,7.900000095,9.5,6.800000191,-1.899999976,-14,-23.89999962,-36.70000076,7.099999905,4.400000095,10.80000019,14.10000038,26.10000038,11,19,54.10000229,9.600000381,65,-13.30000001,58.60000228,-32.03333346,38.60000038,8.066666762,51.00000095,9.600000381,101.5000029,-16.80000019,16.20000029,-17.53333394,14.69999993,-14.18333339,179.8000035,1.766159427,1.286666679,-2.513582968,-1.831874564,0.54000001,0.455637611
1966,-35,-35,-26.5,-19.70000076,-3.299999952,8.600000381,10.5,8.300000191,1.899999976,27.30000114,22.39999962,8.400000572,4.300000191,7.200000286,36.40000153,35.79999924,27.39999962,20.20000076,-19.70000076,-3.299999952,8.600000381,10.5,8.300000191,1.899999976,-13.90000057,-21,-29.60000038,4.300000191,7.200000286,36.40000153,35.79999924,27.39999962,20.20000076,12.69999981,41.60000229,10.90000057,66,-13.26666653,84.10000229,-35.56666692,59.30000114,9.133333524,99.60000039,8.066666762,51.00000095,-16.50000024,19.90000105,-16.80000019,16.20000029,-12.89166676,254.6000056,2.654924239,1.976666705,-1.523865458,-2.513582968,0.58459063,0.54000001
1967,-35.70000076,-34.29999924,-22.80000114,-18.60000038,0.900000036,8.800000191,10.10000038,6.599999905,2.400000095,26.39999962,7.099999905,9.800000191,13.90000057,14.19999981,20.70000076,38,20.60000038,11.5,-18.60000038,0.900000036,8.800000191,10.10000038,6.599999905,2.400000095,-8.900000572,-27.30000114,-30.60000038,13.90000057,14.19999981,20.70000076,38,20.60000038,11.5,21.39999962,7.800000191,30.39999962,67,-11.0000002,74.50000286,-33.20000013,44.4000001,8.500000159,79.30000114,9.133333524,99.60000039,-13.50000049,37.90000057,-16.50000024,19.90000105,-12.45000025,221.8000007,2.08617727,1.480000003,-1.722763715,-1.523865458,0.934509962,0.58459063
1968,-28.60000038,-29.30000114,-23.80000114,-18.10000038,-3,8,11.40000057,10.40000057,2.600000143,24.60000038,15.90000057,6.200000286,2.299999952,12.30000019,26,43.29999924,41.5,10.90000057,-18.10000038,-3,8,11.40000057,10.40000057,2.600000143,-12.69999981,-27.20000076,-35.60000229,2.299999952,12.30000019,26,43.29999924,41.5,10.90000057,22.39999962,15,17.39999962,68,-11.26666721,40.69999981,-29.50000063,70.90000057,9.933333713,110.7999992,8.500000159,79.30000114,-14.96666717,20.80000043,-13.50000049,37.90000057,-12.15833372,237.8000004,0.888114724,2.363333352,-1.230473888,-1.722763715,0.596023881,0.934509962
1969,-24.20000076,-33.79999924,-30,-16.5,-1.5,9.100000381,12.19999981,9.400000572,3.400000095,33.5,4.599999905,2,4,2.799999952,9.199999809,14.19999981,16.80000114,20.20000076,-16.5,-1.5,9.100000381,12.19999981,9.400000572,3.400000095,-13,-30.5,-31.10000038,4,2.799999952,9.199999809,14.19999981,16.80000114,20.20000076,14.10000038,5.099999905,17.60000038,69,-12.43333348,48.30000019,-31.20000076,55.49999953,10.23333359,40.20000076,9.933333713,110.7999992,-16,8.799999952,-14.96666717,20.80000043,-12.20833329,144.100002,1.099988108,1.849999984,-4.094679286,-1.230473888,0.134502227,0.596023881
1970,-30.30000114,-30.30000114,-27.20000076,-18.5,-1.200000048,10.80000019,9.699999809,7,3.600000143,4.099999905,5.599999905,3.600000143,2.799999952,14.69999981,15.90000057,19.89999962,32.29999924,9.199999809,-18.5,-1.200000048,10.80000019,9.699999809,7,3.600000143,-13.30000019,-26.70000076,-30.5,2.799999952,14.69999981,15.90000057,19.89999962,32.29999924,9.199999809,11.19999981,27,6.599999905,70,-13.36666664,39.40000105,-30.56666755,27.30000019,9.166666666,68.09999943,10.23333359,40.20000076,-15.6333336,21.09999991,-16,8.799999952,-12.24166699,152.8999987,0.832943621,0.910000006,-2.64205202,-4.094679286,0.506895133,0.134502227
1971,-32.40000153,-32.10000229,-27.39999962,-16.60000038,-3.600000143,7.800000191,12.60000038,9.199999809,2.100000143,14.60000038,7.599999905,4,0.800000012,3.799999952,12.30000019,17.60000038,11.80000019,14.90000057,-16.60000038,-3.600000143,7.800000191,12.60000038,9.199999809,2.100000143,-12.30000019,-26.10000038,-31.80000114,0.800000012,3.799999952,12.30000019,17.60000038,11.80000019,14.90000057,16.5,20,16.10000038,71,-12.1333336,47.39999962,-31.66666794,28.80000019,9.866666793,41.70000076,9.166666666,68.09999943,-15.86666671,8.599999964,-15.6333336,21.09999991,-12.55000043,140.000002,0.992392546,0.960000006,-3.92629034,-2.64205202,0.217451192,0.506895133
