variable
temp.prev.apr
temp.prev.may
temp.prev.jun
temp.prev.jul
temp.prev.aug
temp.prev.sep
temp.prev.oct
temp.prev.nov
temp.prev.dec
temp.curr.jan
temp.curr.feb
temp.curr.mar
temp.curr.apr
temp.curr.may
temp.curr.jun
temp.curr.jul
temp.curr.aug
precip.prev.apr
precip.prev.may
precip.prev.jun
precip.prev.jul
precip.prev.aug
precip.prev.sep
precip.prev.oct
precip.prev.nov
precip.prev.dec
precip.curr.jan
precip.curr.feb
precip.curr.mar
precip.curr.apr
precip.curr.may
precip.curr.jun
precip.curr.jul
precip.curr.aug
